monthly_visitors,page_views,avg_time_on_site,bounce_rate,domain_authority,backlinks,organic_keywords,ranking_keywords,conversion_rate,conversion_value,competition_score,social_shares,email_subscribers,mobile_traffic,returning_visitors,page_load_time,ssl_score,content_freshness,internal_links,external_links,brand_mentions,actual_value
10000,50000,180,45,45,1000,500,200,2.5,50000,60,1000,800,40,25,3.5,90,60,500,300,200,250000
5000,25000,150,50,35,800,400,150,2.0,40000,70,800,600,35,20,4.0,85,50,400,250,150,150000
20000,100000,200,40,55,2000,800,400,3.0,75000,50,2000,1500,45,30,3.0,95,70,800,500,300,400000
3000,15000,120,60,25,500,300,100,1.5,30000,80,500,400,30,15,4.5,80,40,300,200,100,100000
15000,75000,190,42,50,1500,600,300,2.8,60000,55,1500,1200,42,28,3.2,92,65,700,400,250,300000
8000,40000,160,48,40,1200,450,180,2.2,45000,65,900,700,38,22,3.8,88,55,450,280,180,200000
25000,125000,210,38,60,2500,900,450,3.2,80000,45,2500,2000,48,35,2.8,96,75,900,600,350,450000
4000,20000,130,55,30,600,350,120,1.8,35000,75,600,500,32,18,4.2,82,45,350,220,120,120000
12000,60000,175,44,48,1300,550,250,2.6,55000,58,1200,1000,41,26,3.4,91,62,600,350,220,280000
6000,30000,140,52,38,900,400,160,2.1,42000,68,700,550,36,21,3.9,87,52,400,260,160,180000 
